"Entity ID","Common Name","Scientific Name","Where Listed","Species Group","FWS Lead Region","ESA Listing Status","Critical Habitat Type","Federal Register Publication","Critical Habitat Shapefile","tsn","Acres and Miles"
"428","Butterfly, Smith's blue","Euphilotes enoptes smithi","Wherever found","Insects","Region 8","Endangered","Proposed","Federal Register (1977-02-08)","","117243",""
"430","Butterfly, callippe silverspot","Speyeria callippe callippe","Wherever found","Insects","Region 8","Endangered","Proposed","Federal Register (1980-03-28)","","779159",""
"431","Butterfly, Oregon silverspot","Speyeria zerene hippolyta","Wherever found","Insects","Region 1","Threatened","Final","Federal Register (1980-07-02)","Download","201287","361.4 acres"
"432","Butterfly, Palos Verdes blue","Glaucopsyche lygdamus palosverdesensis","Wherever found","Insects","Region 8","Endangered","Final","Federal Register (1980-07-02)","Download","201264","74.7 acres"
"433","Moth, Kern primrose sphinx","Euproserpinus euterpe","Wherever found","Insects","Region 8","Threatened","Proposed","Federal Register (1978-07-03)","","201313",""
"434","Skipper, Pawnee montane","Hesperia leonardus montana","Wherever found","Insects","Region 6","Threatened","Proposed","Federal Register (1978-07-03)","","707301",""
"435","Beetle, delta green ground","Elaphrus viridis","Wherever found","Insects","Region 8","Threatened","Final","Federal Register (1980-08-08)","Download","109570","969.4 acres"
"436","Beetle, valley elderberry longhorn","Desmocerus californicus dimorphus","Wherever found","Insects","Region 8","Threatened","Final","Federal Register (1980-08-08)","Download","201258","478.8 acres"
"438","Butterfly, bay checkerspot","Euphydryas editha bayensis","Wherever found","Insects","Region 8","Threatened","Final","Federal Register (2008-08-26)","Download","201292","17759.1 acres"
"439","Naucorid, Ash Meadows","Ambrysus amargosus","Wherever found","Insects","Region 8","Threatened","Final","Federal Register (1985-05-20)","Download","103618","0.3 acres"
"445","Dragonfly, Hine's emerald","Somatochlora hineana","Wherever found","Insects","Region 3","Endangered","Final","Federal Register (2010-04-23)","Download","101968","25890.5 acres"
"446","Moth, Blackburn's sphinx","Manduca blackburni","Wherever found","Insects","Region 1","Endangered","Final","Federal Register (2003-06-10)","Download","936091","55453.5 acres"
"450","Butterfly, Fender's blue","Icaricia icarioides fenderi","Wherever found","Insects","Region 1","Threatened","Final","Federal Register (2006-10-31)","Download","779712","2885.0 acres"
"451","Skipper, Laguna Mountains","Pyrgus ruralis lagunae","Wherever found","Insects","Region 8","Endangered","Final","Federal Register (2006-12-12)","Download","707413","6250.7 acres"
"453","Beetle, Comal Springs riffle","Heterelmis comalensis","Wherever found","Insects","Region 2","Endangered","Final","Federal Register (2013-10-23)","Download","193733","28.2 acres"
"454","Beetle, Comal Springs dryopid","Stygoparnus comalensis","Wherever found","Insects","Region 2","Endangered","Final","Federal Register (2013-10-23)","Download","193697","75.6 acres"
"458","Grasshopper, Zayante band-winged","Trimerotropis infantilis","Wherever found","Insects","Region 8","Endangered","Final","Federal Register (2001-02-07)","Download","658800","11151.5 acres"
"459","Beetle, [no common name]","Rhadine infernalis","Wherever found","Insects","Region 2","Endangered","Final","Federal Register (2012-02-14)","Download","931783","2331.7 acres"
"460","Beetle, Helotes mold","Batrisodes venyivi","Wherever found","Insects","Region 2","Endangered","Final","Federal Register (2012-02-14)","Download","691442","546.7 acres"
"461","Beetle, [no common name]","Rhadine exilis","Wherever found","Insects","Region 2","Endangered","Final","Federal Register (2012-02-14)","Download","932481","1938.5 acres"
"463","Spider, Kauai cave wolf or pe'e pe'e maka 'ole","Adelocosa anops","Wherever found","Arachnids","Region 1","Endangered","Final","Federal Register (2003-04-09)","Download","849993","256.1 acres"
"468","Spider, spruce-fir moss","Microhexura montivaga","Wherever found","Arachnids","Region 4","Endangered","Final","Federal Register (2001-07-06)","Download","861657","9516.0 acres"
"469","Harvestman, Cokendolpher Cave","Texella cokendolpheri","Wherever found","Arachnids","Region 2","Endangered","Final","Federal Register (2012-02-14)","Download","1014166","203.1 acres"
"470","Spider, Government Canyon Bat Cave","Tayshaneta microps","Wherever found","Arachnids","Region 2","Endangered","Final","Federal Register (2012-02-14)","Download","862424","64.5 acres"
"471","Meshweaver, Madla Cave","Cicurina madla","Wherever found","Arachnids","Region 2","Endangered","Final","Federal Register (2012-02-14)","Download","876193","1564.6 acres"
"472","Meshweaver, Robber Baron Cave","Cicurina baronia","Wherever found","Arachnids","Region 2","Endangered","Final","Federal Register (2012-02-14)","Download","876148","323.0 acres"
"473","Meshweaver, Government Canyon Bat Cave","Cicurina vespera","Wherever found","Arachnids","Region 2","Endangered","Final","Federal Register (2012-02-14)","Download","876263","64.5 acres"
"477","Amphipod, Peck's cave","Stygobromus (=Stygonectes) pecki","Wherever found","Crustaceans","Region 2","Endangered","Final","Federal Register (2013-10-23)","Download","93919","74.1 acres"
"482","Shrimp, Kentucky cave","Palaemonias ganteri","Wherever found","Crustaceans","Region 4","Endangered","Final","Federal Register (1983-10-12)","Download","97245","45.1 acres"
"485","Amphipod, Kauai cave","Spelaeorchestia koloana","Wherever found","Crustaceans","Region 1","Endangered","Final","Federal Register (2003-04-09)","Download","185829","256.1 acres"
"490","Fairy shrimp, Conservancy","Branchinecta conservatio","Wherever found","Crustaceans","Region 8","Endangered","Final","Federal Register (2006-02-10)","Download","624021","161522.7 acres"
"491","Fairy shrimp, longhorn","Branchinecta longiantenna","Wherever found","Crustaceans","Region 8","Endangered","Final","Federal Register (2006-02-10)","Download","624022","13618.2 acres"
"492","Fairy shrimp, Riverside","Streptocephalus woottoni","Wherever found","Crustaceans","Region 8","Endangered","Final","Federal Register (2012-12-04)","Download","624020","1652.6 acres"
"493","Fairy shrimp, vernal pool","Branchinecta lynchi","Wherever found","Crustaceans","Region 8","Threatened","Final","Federal Register (2006-02-10)","Download","624023","596483.3 acres"
"494","Tadpole shrimp, vernal pool","Lepidurus packardi","Wherever found","Crustaceans","Region 8","Endangered","Final","Federal Register (2006-02-10)","Download","684669","228380.4 acres"
"495","Fairy shrimp, San Diego","Branchinecta sandiegonensis","Wherever found","Crustaceans","Region 8","Endangered","Final","Federal Register (2007-12-12)","Download","624043","2924.9 acres"
"496","Thornmint, San Diego","Acanthomintha ilicifolia","Wherever found","Flowering Plants","Region 8","Threatened","Final","Federal Register (2008-08-26)","Download","32426","1302.5 acres"
"497","No common name","Achyranthes mutica","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2003-07-02)","Download","20758","1505.7 acres"
"499","No common name","Amaranthus brownii","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2003-05-22)","Download","181924","180.9 acres"
"500","Ambrosia, San Diego","Ambrosia pumila","Wherever found","Flowering Plants","Region 8","Endangered","Final","Federal Register (2010-11-30)","Download","36517","832.5 acres"
"506","Sandwort, Bear Valley","Arenaria ursina","Wherever found","Flowering Plants","Region 8","Threatened","Final","Federal Register (2007-12-26)","Download","20272","1214.7 acres"
"507","Milk-vetch, Braunton's","Astragalus brauntonii","Wherever found","Flowering Plants","Region 8","Endangered","Final","Federal Register (2006-11-14)","Download","25443","2875.8 acres"
"510","Milk-vetch, Lane Mountain","Astragalus jaegerianus","Wherever found","Flowering Plants","Region 8","Endangered","Final","Federal Register (2011-05-19)","Download","25550","14156.5 acres"
"511","Milk-vetch, Ventura Marsh","Astragalus pycnostachyus var. lanosissimus","Wherever found","Flowering Plants","Region 8","Endangered","Final","Federal Register (2004-05-20)","Download","192732","361.5 acres"
"514","Barberry, Nevin's","Berberis nevinii","Wherever found","Flowering Plants","Region 8","Endangered","Final","Federal Register (2008-02-13)","Download","18826","1.9 acres"
"516","Brodiaea, thread-leaved","Brodiaea filifolia","Wherever found","Flowering Plants","Region 8","Threatened","Final","Federal Register (2011-02-08)","Download","42806","3211.9 acres"
"518","Uhiuhi","Mezoneuron kavaiense","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2018-08-21)","Download","195912","11232.5 acres"
"522","Owl's-clover, fleshy","Castilleja campestris ssp. succulenta","Wherever found","Flowering Plants","Region 8","Threatened","Final","Federal Register (2006-02-10)","Download","524899","175717.0 acres"
"523","Paintbrush, ash-grey","Castilleja cinerea","Wherever found","Flowering Plants","Region 8","Threatened","Final","Federal Register (2007-12-26)","Download","33058","1513.5 acres"
"527","Spurge, Hoover's","Chamaesyce hooveri","Wherever found","Flowering Plants","Region 8","Threatened","Final","Federal Register (2006-02-10)","Download","501427","114942.0 acres"
"528","amole, purple","Chlorogalum purpureum","Wherever found","Flowering Plants","Region 8","Threatened","Final","Federal Register (2002-10-24)","Download","42900","5915.7 acres"
"530","Thistle, Suisun","Cirsium hydrophilum var. hydrophilum","Wherever found","Flowering Plants","Region 8","Endangered","Final","Federal Register (2007-04-12)","Download","527372","2054.5 acres"
"531","Thistle, La Graciosa","Cirsium loncholepis","Wherever found","Flowering Plants","Region 8","Endangered","Final","Federal Register (2009-11-03)","Download","36383","23672.2 acres"
"533","`Oha wai","Clermontia drepanomorpha","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2003-07-02)","Download","34634","4720.0 acres"
"534","Bird's-beak, soft","Cordylanthus mollis ssp. mollis","Wherever found","Flowering Plants","Region 8","Endangered","Final","Federal Register (2007-04-12)","Download","523891","2362.9 acres"
"535","Haha","Cyanea humboldtiana","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2012-09-18)","Download","507715","30094.1 acres"
"536","Ha`iwale","Cyrtandra dentata","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2012-09-18)","Download","34136","35054.3 acres"
"537","Haha","Cyanea rivularis","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2003-02-27)","Download","192981","2106.2 acres"
"538","No common name","Delissea undulata","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2003-07-02)","Download","34765","3085.7 acres"
"539","Larkspur, Baker's","Delphinium bakeri","Wherever found","Flowering Plants","Region 8","Endangered","Final","Federal Register (2003-03-18)","Download","18538","1748.4 acres"
"540","Larkspur, yellow","Delphinium luteum","Wherever found","Flowering Plants","Region 8","Endangered","Final","Federal Register (2003-03-18)","Download","18475","2423.8 acres"
"545","Love grass, Fosberg's","Eragrostis fosbergii","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2012-09-18)","Download","40730","7295.0 acres"
"546","Yerba santa, Lompoc","Eriodictyon capitatum","Wherever found","Flowering Plants","Region 8","Endangered","Final","Federal Register (2002-11-07)","Download","31366","6347.0 acres"
"548","Wild-buckwheat, southern mountain","Eriogonum kennedyi var. austromontanum","Wherever found","Flowering Plants","Region 8","Threatened","Final","Federal Register (2007-12-26)","Download","528003","789.1 acres"
"549","`Akoko","Euphorbia haeleeleana","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2012-09-18)","Download","28159","7955.4 acres"
"558","Sunflower, Pecos (=puzzle, =paradox)","Helianthus paradoxus","Wherever found","Flowering Plants","Region 2","Threatened","Final","Federal Register (2008-04-01)","Download","36670","1094.3 acres"
"559","Tarplant, Otay","Deinandra (=Hemizonia) conjugens","Wherever found","Flowering Plants","Region 8","Threatened","Final","Federal Register (2002-12-10)","Download","780273","6490.1 acres"
"560","Hau kuahiwi","Hibiscadelphus giffardianus","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2003-07-02)","Download","21971","372.0 acres"
"561","Hau kuahiwi","Hibiscadelphus hualalaiensis","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2003-07-02)","Download","21972","9831.5 acres"
"562","Tarplant, Santa Cruz","Holocarpha macradenia","Wherever found","Flowering Plants","Region 8","Threatened","Final","Federal Register (2002-10-16)","Download","37739","2753.8 acres"
"563","Aupaka","Isodendrion laurifolium","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2012-09-18)","Download","22199","11235.8 acres"
"564","Aupaka","Isodendrion longifolium","Wherever found","Flowering Plants","Region 1","Threatened","Final","Federal Register (2012-09-18)","Download","22200","37092.1 acres"
"565","Kamakahala","Labordia triflora","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2016-03-30)","Download","29948","8758.3 acres"
"566","Goldfields, Contra Costa","Lasthenia conjugens","Wherever found","Flowering Plants","Region 8","Endangered","Final","Federal Register (2006-02-10)","Download","37837","14518.1 acres"
"567","`Anaunau","Lepidium arbuscula","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2012-09-18)","Download","22983","1436.0 acres"
"569","Bladderpod, Zapata","Physaria thamnophila","Wherever found","Flowering Plants","Region 2","Endangered","Final","Federal Register (2000-12-22)","Download","23231","5316.5 acres"
"572","No common name","Lobelia koolauensis","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2012-09-18)","Download","845375","25106.1 acres"
"575","Alani","Melicope saint-johnii","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2012-09-18)","Download","196053","9254.7 acres"
"576","Monardella, willowy","Monardella viminea","Wherever found","Flowering Plants","Region 8","Endangered","Final","Federal Register (2012-03-06)","Download","833060","80.1 acres"
"577","Kolea","Myrsine linearifolia","Wherever found","Flowering Plants","Region 1","Threatened","Final","Federal Register (2003-02-27)","Download","23917","4831.3 acres"
"580","Grass, Colusa","Neostapfia colusana","Wherever found","Flowering Plants","Region 8","Threatened","Final","Federal Register (2006-02-10)","Download","41958","152190.6 acres"
"581","No common name","Neraudia ovata","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2003-07-02)","Download","19179","7409.7 acres"
"582","Orcutt grass, hairy","Orcuttia pilosa","Wherever found","Flowering Plants","Region 8","Endangered","Final","Federal Register (2006-02-10)","Download","41973","79503.2 acres"
"583","Orcutt grass, slender","Orcuttia tenuis","Wherever found","Flowering Plants","Region 8","Threatened","Final","Federal Register (2006-02-10)","Download","41974","94020.0 acres"
"584","Lau `ehu","Panicum niihauense","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2003-02-27)","Download","40981","412.7 acres"
"586","Pentachaeta, Lyon's","Pentachaeta lyonii","Wherever found","Flowering Plants","Region 8","Endangered","Final","Federal Register (2006-11-14)","Download","504234","2934.9 acres"
"589","No common name","Phyllostegia hirsuta","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2012-09-18)","Download","196163","39277.1 acres"
"590","No common name","Phyllostegia knudsenii","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2003-02-27)","Download","196165","726.1 acres"
"591","No common name","Phyllostegia parviflora","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2012-09-18)","Download","196181","37914.5 acres"
"594","Bluegrass, San Bernardino","Poa atropurpurea","Wherever found","Flowering Plants","Region 8","Endangered","Final","Federal Register (2008-08-14)","Download","41110","2411.1 acres"
"597","loulu","Pritchardia aylmer-robinsonii","Wherever found","Flowering Plants","Region 1","Endangered","Not Prudent","Federal Register (2003-02-27)","","42464",""
"598","loulu","Pritchardia remota","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2003-05-22)","Download","42490","1200.8 acres"
"601","No common name","Sanicula purpurea","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2016-03-30)","Download","505005","31568.0 acres"
"602","No common name","Schiedea hookeri","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2012-09-18)","Download","20209","8745.2 acres"
"603","Ma`oli`oli","Schiedea kealiae","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2012-09-18)","Download","20212","1473.2 acres"
"604","No common name","Schiedea membranacea","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2003-02-27)","Download","20217","3299.1 acres"
"605","No common name","Schiedea sarmentosa","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2016-03-30)","Download","20223","8758.3 acres"
"606","No common name","Schiedea verticillata","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2003-05-22)","Download","20225","180.9 acres"
"607","Reed-mustard, shrubby","Schoenocrambe suffrutescens","Wherever found","Flowering Plants","Region 6","Endangered","Proposed","Federal Register (1985-09-05)","","195792",""
"610","Checker-mallow, Keck's","Sidalcea keckii","Wherever found","Flowering Plants","Region 8","Endangered","Final","Federal Register (2003-03-18)","Download","505212","1000.7 acres"
"611","Checkermallow, Wenatchee Mountains","Sidalcea oregana var. calva","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2001-09-06)","Download","566794","6190.8 acres"
"613","Catchfly, Spalding's","Silene spaldingii","Wherever found","Flowering Plants","Region 1","Threatened","Proposed","Federal Register (2000-04-24)","","20126",""
"614","Taraxacum, California","Taraxacum californicum","Wherever found","Flowering Plants","Region 8","Endangered","Final","Federal Register (2008-08-14)","Download","36203","1701.1 acres"
"616","No common name","Abutilon eremitopetalum","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2016-03-30)","","21678",""
"618","No common name","Abutilon sandwicense","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2012-09-18)","Download","21681","7295.0 acres"
"619","Liliwai","Acaena exigua","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2016-03-30)","Download","182028","1473.9 acres"
"621","Mahoe","Alectryon macrococcus","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2016-03-30)","Download","28659","56759.6 acres"
"622","No common name","Schiedea obovata","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2012-09-18)","Download","823600","7295.0 acres"
"623","No common name","Schiedea trinervis","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2012-09-18)","Download","823599","2103.9 acres"
"626","Fiddleneck, large-flowered","Amsinckia grandiflora","Wherever found","Flowering Plants","Region 8","Endangered","Final","Federal Register (1985-05-08)","Download","31708","159.8 acres"
"630","Rock-cress, Braun's","Arabis perstellata","Wherever found","Flowering Plants","Region 4","Endangered","Final","Federal Register (2004-06-03)","Download","22721","1052.0 acres"
"634","Silversword, Mauna Loa (=Ka'u)","Argyroxiphium kauense","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2003-07-02)","Download","38728","35622.5 acres"
"635","`Ahinahina","Argyroxiphium sandwicense ssp. macrocephalum","Wherever found","Flowering Plants","Region 1","Threatened","Final","Federal Register (2016-03-30)","Download","185198","40569.3 acres"
"641","Milk-vetch, Ash meadows","Astragalus phoenix","Wherever found","Flowering Plants","Region 8","Threatened","Final","Federal Register (1985-05-20)","Download","25631","1212.1 acres"
"645","Ko`oko`olau","Bidens micrantha ssp. kalealaha","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2016-03-30)","Download","196220","59121.5 acres"
"646","Ko`oko`olau","Bidens wiebkei","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2016-03-30)","Download","35778","17927.7 acres"
"648","No common name","Bonamia menziesii","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2016-03-30)","Download","30828","42218.3 acres"
"649","Olulu","Brighamia insignis","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2003-02-27)","Download","34622","5403.8 acres"
"650","Pua `ala","Brighamia rockii","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2016-03-30)","Download","34624","9495.8 acres"
"654","`Awikiwiki","Canavalia molokaiensis","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2016-03-30)","Download","501184","24970.1 acres"
"656","Sedge, Navajo","Carex specuicola","Wherever found","Flowering Plants","Region 2","Threatened","Final","Federal Register (1985-05-08)","Download","39811","0.1 acres"
"659","Kamanomano","Cenchrus agrimonioides","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2016-03-30)","Download","40579","28060.4 acres"
"660","Centaury, spring-loving","Centaurium namophilum","Wherever found","Flowering Plants","Region 8","Threatened","Final","Federal Register (1985-05-20)","Download","30033","1848.0 acres"
"662","`Akoko","Euphorbia celastroides var. kaenana","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2012-09-18)","Download","535318","9294.4 acres"
"664","'Akoko","Euphorbia halemanui","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2003-02-27)","Download","28160","3472.5 acres"
"665","`Akoko","Euphorbia skottsbergii var. skottsbergii","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2012-09-18)","Download","845656","337.0 acres"
"671","`Oha wai","Clermontia lindseyana","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2016-03-30)","Download","34647","21428.8 acres"
"672","`Oha wai","Clermontia peleana","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2016-03-30)","Download","34658","54756.8 acres"
"673","`Oha wai","Clermontia pyrularia","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2003-07-02)","Download","34660","6821.9 acres"
"674","Kauila","Colubrina oppositifolia","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2016-03-30)","Download","28528","35813.0 acres"
"684","Haha","Cyanea grimesiana ssp. grimesiana","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2016-03-30)","Download","523923","45978.2 acres"
"685","Haha","Cyanea mceldowneyi","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2016-03-30)","Download","34721","48230.7 acres"
"686","Haha","Cyanea shipmanii","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2003-07-02)","Download","34744","6102.4 acres"
"687","Haha","Cyanea st.-johnii","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2012-09-18)","Download","507721","30094.1 acres"
"688","Haha","Cyanea superba","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2012-09-18)","Download","34750","5861.5 acres"
"690","Ha`iwale","Cyrtandra polyantha","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2012-09-18)","Download","34228","27069.7 acres"
"691","Ha`iwale","Cyrtandra subumbellata","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2012-09-18)","Download","34248","30094.1 acres"
"692","No common name","Delissea rhytidosperma","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2003-02-27)","Download","34762","1452.8 acres"
"693","Oha","Delissea subcordata","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2012-09-18)","Download","34764","7821.2 acres"
"697","Koholapehu","Dubautia latifolia","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2003-02-27)","Download","38742","5836.1 acres"
"709","Wild-buckwheat, gypsum","Eriogonum gypsophilum","Wherever found","Flowering Plants","Region 2","Threatened","Final","Federal Register (1981-01-19)","Download","21146","558.1 acres"
"710","Buckwheat, cushenbury","Eriogonum ovalifolium var. vineum","Wherever found","Flowering Plants","Region 8","Endangered","Final","Federal Register (2002-12-24)","Download","528014","6385.2 acres"
"712","Wallflower, Contra Costa","Erysimum capitatum var. angustatum","Wherever found","Flowering Plants","Region 8","Endangered","Final","Federal Register (1978-08-31)","Download","528069","315.2 acres"
"717","Geranium, Hawaiian red-flowered","Geranium arboreum","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2016-03-30)","Download","29140","40367.2 acres"
"719","No common name","Gouania hillebrandii","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2016-03-30)","Download","28543","17087.2 acres"
"720","No common name","Gouania meyenii","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2012-09-18)","Download","28546","9980.3 acres"
"721","No common name","Gouania vitifolia","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2016-03-30)","Download","28551","15874.3 acres"
"724","'Awiwi","Kadua cookiana","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2003-02-27)","Download","846011","1904.0 acres"
"725","Kio`ele","Kadua coriacea","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2016-03-30)","Download","846013","11721.5 acres"
"726","No common name","Kadua degeneri","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2012-09-18)","Download","846014","7295.0 acres"
"727","pilo","Kadua laxiflora","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2016-03-30)","Download","35023","17642.8 acres"
"728","No common name","Kadua parvula","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2012-09-18)","Download","515426","7295.0 acres"
"729","No common name","Kadua st.-johnii","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2003-02-27)","Download","846025","594.7 acres"
"731","No common name","Hesperomannia arborescens","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2016-03-30)","Download","38772","48765.7 acres"
"732","No common name","Hesperomannia arbuscula","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2016-03-30)","Download","38776","18507.7 acres"
"733","No common name","Hesperomannia lydgatei","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2003-02-27)","Download","38779","4296.9 acres"
"736","Ma`o hau hele, (=native yellow hibiscus)","Hibiscus brackenridgei","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2016-03-30)","Download","21641","36477.8 acres"
"737","Hibiscus, Clay's","Hibiscus clayi","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2003-02-27)","Download","21642","1982.4 acres"
"738","Koki`o ke`oke`o","Hibiscus waimeae ssp. hannerae","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2003-02-27)","Download","524148","2760.7 acres"
"741","Kula wahine noho","Isodendrion pyrifolium","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2018-08-21)","Download","22204","30362.9 acres"
"743","Ivesia, Ash Meadows","Ivesia kingii var. eremica","Wherever found","Flowering Plants","Region 8","Threatened","Final","Federal Register (1985-05-20)","Download","195880","907.3 acres"
"745","Koki`o","Kokia cookei","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2016-03-30)","Download","21975","610.8 acres"
"746","Koki`o","Kokia drynarioides","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (1984-12-04)","Download","21976","2446.5 acres"
"747","Koki`o","Kokia kauaiensis","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2003-02-27)","Download","21977","2396.6 acres"
"755","nehe","Lipochaeta fauriei","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2003-02-27)","Download","38794","1607.9 acres"
"756","nehe","Lipochaeta lobata var. leptophylla","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2012-09-18)","Download","196321","1436.0 acres"
"758","No common name","Lobelia niihauensis","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2012-09-18)","Download","196205","12448.2 acres"
"759","No common name","Lobelia oahuensis","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2012-09-18)","Download","503519","31450.4 acres"
"765","Alani","Melicope balloui","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2016-03-30)","Download","196016","37234.5 acres"
"766","Alani","Melicope haupuensis","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2003-02-27)","Download","196026","2950.9 acres"
"767","Alani","Melicope knudsenii","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2016-03-30)","Download","196031","6827.3 acres"
"768","Alani","Melicope lydgatei","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2012-09-18)","Download","196032","27069.7 acres"
"769","Alani","Melicope mucronulata","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2016-03-30)","Download","196036","29951.6 acres"
"770","Alani","Melicope munroi","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2016-03-30)","Download","196037","8758.3 acres"
"771","Alani","Melicope ovalis","Wherever found","Flowering Plants","Region 1","Endangered","Final","Federal Register (2016-03-30)","Download","196042","39540.5 acres"
